Epoch: [24][0/1], lr: 0.00100	Time 3.652 (3.652)	Data 3.488 (3.488)	Loss 2.2707 (2.2707)	Prec@1 2.271 (2.271)	Prec@5 2.271 (2.271)
Test: [0/1]	Time 2.873 (2.873)	Loss 2.2698 (2.2698)	Prec@1 2.270 (2.270)	Prec@5 2.270 (2.270)
Testing Results: Prec@1 2.270 Prec@5 2.270 Loss 2.26980 
Best Prec@1: 2.299
Epoch: [25][0/1], lr: 0.00100	Time 3.751 (3.751)	Data 3.586 (3.586)	Loss 2.2687 (2.2687)	Prec@1 2.269 (2.269)	Prec@5 2.269 (2.269)
Epoch: [26][0/1], lr: 0.00100	Time 3.652 (3.652)	Data 3.486 (3.486)	Loss 2.2670 (2.2670)	Prec@1 2.267 (2.267)	Prec@5 2.267 (2.267)
Epoch: [27][0/1], lr: 0.00100	Time 3.613 (3.613)	Data 3.448 (3.448)	Loss 2.2623 (2.2623)	Prec@1 2.262 (2.262)	Prec@5 2.262 (2.262)
Epoch: [28][0/1], lr: 0.00100	Time 3.635 (3.635)	Data 3.472 (3.472)	Loss 2.2633 (2.2633)	Prec@1 2.263 (2.263)	Prec@5 2.263 (2.263)
Epoch: [29][0/1], lr: 0.00100	Time 3.711 (3.711)	Data 3.544 (3.544)	Loss 2.2567 (2.2567)	Prec@1 2.257 (2.257)	Prec@5 2.257 (2.257)
Test: [0/1]	Time 2.854 (2.854)	Loss 2.2579 (2.2579)	Prec@1 2.258 (2.258)	Prec@5 2.258 (2.258)
Testing Results: Prec@1 2.258 Prec@5 2.258 Loss 2.25793 
Best Prec@1: 2.299
Epoch: [30][0/1], lr: 0.00100	Time 3.629 (3.629)	Data 3.465 (3.465)	Loss 2.2567 (2.2567)	Prec@1 2.257 (2.257)	Prec@5 2.257 (2.257)
Epoch: [31][0/1], lr: 0.00100	Time 3.622 (3.622)	Data 3.461 (3.461)	Loss 2.2555 (2.2555)	Prec@1 2.255 (2.255)	Prec@5 2.255 (2.255)
Epoch: [32][0/1], lr: 0.00100	Time 3.667 (3.667)	Data 3.506 (3.506)	Loss 2.2510 (2.2510)	Prec@1 2.251 (2.251)	Prec@5 2.251 (2.251)
Epoch: [33][0/1], lr: 0.00100	Time 3.635 (3.635)	Data 3.470 (3.470)	Loss 2.2490 (2.2490)	Prec@1 2.249 (2.249)	Prec@5 2.249 (2.249)
Epoch: [34][0/1], lr: 0.00100	Time 3.615 (3.615)	Data 3.446 (3.446)	Loss 2.2457 (2.2457)	Prec@1 2.246 (2.246)	Prec@5 2.246 (2.246)
Test: [0/1]	Time 2.856 (2.856)	Loss 2.2453 (2.2453)	Prec@1 2.245 (2.245)	Prec@5 2.245 (2.245)
Testing Results: Prec@1 2.245 Prec@5 2.245 Loss 2.24534 
Best Prec@1: 2.299
Epoch: [35][0/1], lr: 0.00100	Time 3.665 (3.665)	Data 3.499 (3.499)	Loss 2.2453 (2.2453)	Prec@1 2.245 (2.245)	Prec@5 2.245 (2.245)
Epoch: [36][0/1], lr: 0.00100	Time 3.617 (3.617)	Data 3.453 (3.453)	Loss 2.2443 (2.2443)	Prec@1 2.244 (2.244)	Prec@5 2.244 (2.244)
Epoch: [37][0/1], lr: 0.00100	Time 3.612 (3.612)	Data 3.440 (3.440)	Loss 2.2456 (2.2456)	Prec@1 2.246 (2.246)	Prec@5 2.246 (2.246)
Epoch: [38][0/1], lr: 0.00100	Time 3.628 (3.628)	Data 3.463 (3.463)	Loss 2.2377 (2.2377)	Prec@1 2.238 (2.238)	Prec@5 2.238 (2.238)
Epoch: [39][0/1], lr: 0.00100	Time 3.651 (3.651)	Data 3.487 (3.487)	Loss 2.2381 (2.2381)	Prec@1 2.238 (2.238)	Prec@5 2.238 (2.238)
Test: [0/1]	Time 2.856 (2.856)	Loss 2.2324 (2.2324)	Prec@1 2.232 (2.232)	Prec@5 2.232 (2.232)
Testing Results: Prec@1 2.232 Prec@5 2.232 Loss 2.23238 
Best Prec@1: 2.299
Epoch: [40][0/1], lr: 0.00100	Time 3.632 (3.632)	Data 3.467 (3.467)	Loss 2.2280 (2.2280)	Prec@1 2.228 (2.228)	Prec@5 2.228 (2.228)
